Card	Count	Color	CMC	Type	Mana Cost	ACC	RCC	Decks
Counterspell	19	U	2	Instant	UU	N/A	N/A	4c Rashmi, Baral Control, Breya Consultation, Divergent Control, Doomsday Zur, Edric Turns, Grixis Consultation, Grixis Twin, High Tide Jace, Kess Storm, Najeela Tempo, Opus Thief, Paradox Scepter Thrasios, Rashmi Control, Scepter Control, Seasons Pastigur, Shimmer Zur, Teferi Chain Veil, Zuran Consultation
Craterhoof Behemoth	1	G	8	Creature	5GGG	N/A	N/A	Midrange Yisan
Crop Rotation	12	G	1	Instant	G	N/A	N/A	Bad Farm, Edric Turns, Gitrog Dredge, Harvest Animar, Honorbru Meren, Midrange Yisan, Momir Hackball, Paradox Sisay, Rad Farm, Seasons Pastigur, Selvala Brostorm, Varolz Hulk
Crystal Vein	3	C	0	Land	N/A	N/A	N/A	Buried Alive Razaketh Sidisi, Godo Helm, Sidisi Ad Naus Fishbowl
Culling the Weak	8	B	1	Instant	B	N/A	N/A	Bad Farm, Buried Alive Razaketh Sidisi, Gitrog Dredge, Mad Farm, Melt Banana, Rad Farm, Sidisi Ad Naus Fishbowl, Varolz Hulk
Curiosity	2	U	1	Enchantment	U	N/A	N/A	4c Rashmi, BUGR Paradox Scepter
Cursed Totem	8	C	2	Artifact	2	N/A	N/A	Baral Control, Godo Helm, Grixis Consultation, HE-MAN, Kraum's MANly Combo, Opus Thief, Teferi Chain Veil, Zuran Consultation
Cyclonic Rift	28	U	2	Instant	1U	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Grixis Consultation, Grixis Twin, HE-MAN, High Tide Jace, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mimeo Reanimator Hulk, Najeela Tempo, Paradox Arcum, Paradox Scepter Thrasios, Rashmi Control, Scepter Control, Seasons Pastigur, Shimmer Zur, Teferi Chain Veil, Zuran Consultation
Dack Fayden	4	UR	3	Planeswalker	1UR	N/A	N/A	Doomsday Breya, Grixis Twin, Kess Storm, Scion Reanimator
Dakmor Salvage	1	B	0	Land	N/A	N/A	N/A	Gitrog Dredge
Dance of the Dead	11	B	2	Enchantment	1B	N/A	N/A	4c Lightning Druid, Buried Alive Razaketh Sidisi, Doomsday Breya, Honorbru Meren, Hulkweaver, Mad Farm, Nooze Reanimator, Razakats, Scion Reanimator, Sidisi Ad Naus Fishbowl, Varolz Hulk
Daretti, Scrap Savant	1	R	4	Planeswalker	3R	N/A	N/A	Godo Helm
Dark Confidant	36	B	2	Creature	1B	N/A	N/A	BUGR Paradox Scepter, Bad Farm, Blood Pod, Breakfast Hulk, Breya Consultation, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Grixis Consultation, Grixis Twin, Honorbru Meren, Hulkweaver, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Meta Pod, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Scepter Thrasios, Rad Farm, Razakats, SBT Grave Combos, Scepter Control, Seasons Pastigur, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk, Zuran Consultation
Dark Petition	7	B	5	Sorcery	3BB	N/A	N/A	BUGR Paradox Scepter, Doomsday Yidris, Doomsday Zur, Grixis Twin, Jeleva Storm, Kess Storm, Melt Banana
Dark Ritual	33	B	1	Instant	B	N/A	N/A	BUGR Paradox Scepter, Bad Farm, Breya Consultation, Buried Alive Razaketh Sidisi, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Grixis Consultation, Grixis Twin, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Mimeo Reanimator Hulk, Nooze Reanimator, Opus Thief, Paradox Scepter Thrasios, Rad Farm, Razakats, SBT Grave Combos, Scion Reanimator, Shimmer Zur, Sidisi Ad Naus Fishbowl, T&T Hulkball, Tazri Hulk, Varolz Hulk, Zuran Consultation
Darkblast	1	B	1	Instant	B	N/A	N/A	Gitrog Dredge
Darkslick Shores	1	UB	0	Land	N/A	N/A	N/A	Doomsday Breya
Darksteel Citadel	1	C	0	Artifact Land	N/A	N/A	N/A	Godo Helm
Daze	1	U	2	Instant	1U	0	N/A	4c Lightning Druid
Deathmark	2	B	1	Sorcery	B	N/A	N/A	Buried Alive Razaketh Sidisi, Sidisi Ad Naus Fishbowl
Deathrite Shaman	31	BG	1	Creature	B/G	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Blood Pod, Breakfast Hulk, Doomsday Yidris, E-MAN, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Honorbru Meren, Hulkweaver, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Paradox Scepter Thrasios, Rad Farm, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk
Deceiver Exarch	1	U	3	Creature	2U	N/A	N/A	Grixis Twin
Deep Analysis	2	U	4	Sorcery	3U	N/A	N/A	Baral Control, Doomsday Breya
Defense Grid	4	C	2	Artifact	2	N/A	N/A	Buried Alive Razaketh Sidisi, Food Chain Prossh, Godo Helm, Sidisi Ad Naus Fishbowl
Deglamer	1	G	2	Instant	1G	N/A	N/A	Selvala Brostorm
Delay	31	U	2	Instant	1U	N/A	N/A	4c Rashmi, Baral Control, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Tazri, Grixis Consultation, HE-MAN, High Tide Jace, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mimeo Reanimator Hulk, Momir Hackball, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, Scepter Control, Shimmer Zur, Teferi Chain Veil, Zuran Consultation
Demonic Consultation	11	B	1	Instant	B	N/A	N/A	Breya Consultation, Doomsday Zur, Food Chain Prossh, Food Chain Tazri, Grixis Consultation, Grixis Twin, Kess Storm, Najeela Tempo, Opus Thief, Tazri Hulk, Zuran Consultation
Demonic Tutor	47	B	2	Sorcery	1B	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Blood Pod, Breakfast Hulk, Breya Consultation, Buried Alive Razaketh Sidisi, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Grixis Consultation, Grixis Twin, HE-MAN, Honorbru Meren, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Scepter Thrasios, Rad Farm, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, Sidisi Ad Naus Fishbowl, T&T Hulkball, Tazri Hulk, Varolz Hulk, Zuran Consultation
Derevi, Empyrial Tactician	2	WUG	3	Creature	GWU	N/A	N/A	Najeela Hermit Hulk, Najeela Tempo
Desperate Ritual	1	R	2	Instant	1R	N/A	N/A	Godo Helm
Devastation Tide	1	U	5	Sorcery	3UU	N/A	1U	E-MAN
Devoted Druid	3	G	2	Creature	1G	N/A	N/A	Momir Hackball, Nooze Reanimator, SBT Grave Combos
Diabolic Intent	22	B	2	Sorcery	1B	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Bad Farm, Blood Pod, Breakfast Hulk, Buried Alive Razaketh Sidisi, Food Chain Prossh, Gitrog Dredge, Honorbru Meren, Hulkweaver, Mad Farm, Melt Banana, Meta Pod, Najeela Hermit Hulk, Najeela Tempo, Rad Farm, Razakats, SBT Grave Combos, Shuffle Hulk, Sidisi Ad Naus Fishbowl, T&T Hulkball, Varolz Hulk
Dig Through Time	6	U	8	Instant	6UU	N/A	UU	4c Rashmi, Baral Control, High Tide Jace, Paradox Arcum, Rashmi Control, Teferi Chain Veil
Diminishing Returns	1	U	4	Sorcery	2UU	N/A	N/A	High Tide Jace
Dimir Charm	1	UB	2	Instant	UB	N/A	N/A	Seasons Pastigur
Dimir Machinations	1	B	3	Sorcery	2B	N/A	N/A	Food Chain Prossh
Dimir Signet	17	UB	2	Artifact	2	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, Grixis Consultation, Grixis Twin, Jeleva Storm, Kess Storm, Melt Banana, Opus Thief, Scepter Control, Seasons Pastigur, Shimmer Zur, Zuran Consultation
Dire Fleet Daredevil	1	R	2	Creature	1R	N/A	N/A	Godo Helm
Disciple of the Vault	1	B	1	Creature	B	N/A	N/A	Varolz Hulk
Disenchant	1	W	2	Instant	1W	N/A	N/A	Kraum's MANly Combo
Dispel	33	U	1	Instant	U	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Zur, E-MAN, Edric Turns, Food Chain Tazri, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, High Tide Jace, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Opus Thief, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, SBT Grave Combos, Scepter Control, Scion Reanimator, Shuffle Hulk, Teferi Chain Veil, Zuran Consultation
Divergent Transformations	1	R	7	Instant	6R	N/A	N/A	Divergent Control
Doomsday	6	B	3	Sorcery	BBB	N/A	N/A	Doomsday Breya, Doomsday Yidris, Doomsday Zur, Jeleva Storm, Kess Storm, Shimmer Zur
Dosan the Falling Leaf	1	G	3	Creature	1GG	N/A	N/A	Paradox Sisay
Dragon Mage	1	R	7	Creature	5RR	N/A	N/A	Scion Reanimator
Dramatic Reversal	23	U	2	Instant	1U	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Breya Consultation, Divergent Control, Doomsday Yidris, Doomsday Zur, E-MAN, Grixis Consultation, HE-MAN, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Melt Banana, Nooze Reanimator, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, Scepter Control, Seasons Pastigur, Shimmer Zur, Zuran Consultation
Dread Return	6	B	4	Sorcery	2BB	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Breakfast Hulk, Najeela Hermit Hulk, SBT Grave Combos, Tazri Hulk
Dross Hopper	2	B	2	Creature	1B	N/A	N/A	Honorbru Meren, T&T Hulkball
Druids' Repository	2	G	3	Enchantment	1GG	N/A	N/A	Edric Turns, Najeela Tempo
Dryad Arbor	10	G	0	Land Creature	N/A	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Edric Turns, Food Chain Prossh, Honorbru Meren, Midrange Yisan, Paradox Sisay, Selvala Brostorm, Tazri Hulk, Varolz Hulk
Dualcaster Mage	1	R	3	Creature	1RR	N/A	N/A	Mad Farm
Duplicant	1	C	6	Artifact Creature	6	N/A	N/A	Midrange Yisan
Duress	4	B	1	Sorcery	B	N/A	N/A	Buried Alive Razaketh Sidisi, Gitrog Dredge, Melt Banana, Sidisi Ad Naus Fishbowl
Duskwatch Recruiter	1	G	2	Creature	1G	N/A	N/A	Selvala Brostorm
Dwarven Ruins	1	R	0	Land	N/A	N/A	N/A	Godo Helm
Earthcraft	2	G	2	Enchantment	1G	N/A	N/A	Bad Farm, Rad Farm
Ebon Stronghold	2	B	0	Land	N/A	N/A	N/A	Buried Alive Razaketh Sidisi, Sidisi Ad Naus Fishbowl
Edric, Spymaster of Trest	2	UG	3	Creature	1GU	N/A	N/A	Edric Turns, Najeela Tempo
Eidolon of Rhetoric	4	W	3	Enchantment Creature	2W	N/A	N/A	Blood Pod, Hulkweaver, Meta Pod, Paradox Sisay
Eiganjo Castle	1	W	0	Land	N/A	N/A	N/A	Paradox Sisay
Eladamri's Call	10	WG	2	Instant	GW	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Breakfast Hulk, Hulkweaver, Meta Pod, Najeela Hermit Hulk, Najeela Tempo, Paradox Sisay, Shuffle Hulk, T&T Hulkball
Eladamri, Lord of Leaves	1	G	2	Creature	GG	N/A	N/A	Edric Turns
Eldritch Evolution	7	G	3	Sorcery	1GG	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Harvest Animar, Meta Pod, Najeela Tempo, Selvala Brostorm, T&T Hulkball
Elesh Norn, Grand Cenobite	3	W	7	Creature	5WW	N/A	N/A	Blood Pod, Hulkweaver, Paradox Sisay
Elves of Deep Shadow	24	BG	1	Creature	G	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Bad Farm, Blood Pod, Breakfast Hulk, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Honorbru Meren, Hulkweaver, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Najeela Hermit Hulk, Najeela Tempo, Paradox Scepter Thrasios, Rad Farm, Razakats, SBT Grave Combos, Scion Reanimator, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk
Elvish Mystic	27	G	1	Creature	G	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Bad Farm, Blood Pod, Edric Turns, Food Chain Prossh, Food Chain Tazri, Harvest Animar, Honorbru Meren, Hulkweaver, Meta Pod, Midrange Yisan, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Paradox Sisay, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scion Reanimator, Selvala Brostorm, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk
Elvish Spirit Guide	9	G	3	Creature	2G	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Bad Farm, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Harvest Animar, Mimeo Reanimator Hulk, T&T Hulkball
Elvish Visionary	1	G	2	Creature	1G	N/A	N/A	Harvest Animar
Enlightened Tutor	28	W	1	Instant	W	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Bad Farm, Blood Pod, Breakfast Hulk, Breya Consultation, Doomsday Breya, Doomsday Zur, E-MAN, Food Chain Tazri, HE-MAN, Hulkweaver, Kraum's MANly Combo, Mad Farm, Meta Pod, Najeela Hermit Hulk, Najeela Tempo, Opus Thief, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Razakats, Scion Reanimator, Shimmer Zur, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Zuran Consultation
Enter the Infinite	2	U	12	Sorcery	8UUUU	N/A	N/A	High Tide Jace, Rashmi Control
Entomb	21	B	1	Instant	B	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Bad Farm, Buried Alive Razaketh Sidisi, Doomsday Breya, Food Chain Tazri, Gitrog Dredge, Grixis Twin, Honorbru Meren, Hulkweaver, Mad Farm, Mimeo Reanimator Hulk, Nooze Reanimator, Rad Farm, Razakats, SBT Grave Combos, Scion Reanimator, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk
Eternal Scourge	3	C	3	Creature	3	N/A	N/A	Food Chain Tazri, SBT Grave Combos, Tazri Hulk
Eternal Witness	15	G	3	Creature	1GG	N/A	N/A	4c Lightning Druid, Blood Pod, Breakfast Hulk, Edric Turns, Food Chain Prossh, Harvest Animar, Honorbru Meren, Hulkweaver, Midrange Yisan, Mimeo Reanimator Hulk, Nooze Reanimator, Razakats, SBT Grave Combos, Scion Reanimator, Selvala Brostorm
Etherium Sculptor	1	U	2	Artifact Creature	1U	N/A	N/A	Paradox Arcum
Ethersworn Canonist	4	W	2	Artifact Creature	1W	N/A	N/A	Blood Pod, Hulkweaver, Meta Pod, Paradox Sisay
Everflowing Chalice	4	C	0	Artifact	0	N/A	N/A	Buried Alive Razaketh Sidisi, Godo Helm, Paradox Arcum, Sidisi Ad Naus Fishbowl
Exhume	3	B	2	Sorcery	1B	N/A	N/A	Buried Alive Razaketh Sidisi, Grixis Twin, Nooze Reanimator
Exotic Orchard	28	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, E-MAN, Food Chain Tazri, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, Kraum's MANly Combo, Najeela Hermit Hulk, Najeela Tempo, Opus Thief, Paradox Scepter Thrasios, Rad Farm, Razakats, Scepter Control, Scion Reanimator, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Zuran Consultation
Expedition Map	2	C	1	Artifact	1	N/A	N/A	Godo Helm, Sidisi Ad Naus Fishbowl
Exploration	8	G	1	Enchantment	G	N/A	N/A	4c Rashmi, Bad Farm, Edric Turns, Gitrog Dredge, Melt Banana, Midrange Yisan, Rad Farm, Seasons Pastigur
Exsanguinate	2	B	2	Sorcery	XBB	N/A	N/A	Buried Alive Razaketh Sidisi, Sidisi Ad Naus Fishbowl
Extract	1	U	1	Sorcery	U	N/A	N/A	Food Chain Tazri
Fabricate	2	U	3	Sorcery	2U	N/A	N/A	Baral Control, Teferi Chain Veil
Fact or Fiction	6	U	4	Instant	3U	N/A	N/A	4c Rashmi, Baral Control, Divergent Control, High Tide Jace, Rashmi Control, Teferi Chain Veil
Faerie Miscreant	1	U	1	Creature	U	N/A	N/A	Edric Turns
Faithless Looting	4	R	1	Sorcery	R	N/A	N/A	Doomsday Breya, Grixis Twin, Mad Farm, Scion Reanimator
Fatestitcher	4	U	4	Creature	3U	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, SBT Grave Combos, Tazri Hulk
Fauna Shaman	2	G	2	Creature	1G	N/A	N/A	Harvest Animar, Varolz Hulk
Felidar Guardian	2	W	4	Creature	3W	N/A	N/A	Blood Pod, Meta Pod
Fellwar Stone	30	C	2	Artifact	2	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Breya Consultation, Buried Alive Razaketh Sidisi, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Godo Helm, Grixis Consultation, Grixis Twin, HE-MAN, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rashmi Control, Scepter Control, Seasons Pastigur, Shimmer Zur, Sidisi Ad Naus Fishbowl, Teferi Chain Veil, Zuran Consultation
Fetid Heath	1	WB	0	Land	N/A	N/A	N/A	Mad Farm
Fiend Hunter	1	W	3	Creature	1WW	N/A	N/A	Paradox Sisay
Fierce Empath	1	G	3	Creature	2G	N/A	N/A	Selvala Brostorm
Final Fortune	2	R	2	Instant	RR	N/A	N/A	Food Chain Prossh, Godo Helm
Final Parting	1	B	5	Sorcery	3BB	N/A	N/A	Varolz Hulk
Fire Covenant	17	BR	3	Instant	1BR	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Blood Pod, Divergent Control, Doomsday Breya, Doomsday Yidris, Food Chain Prossh, Food Chain Tazri, Grixis Twin, Kraum's MANly Combo, Meta Pod, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Scion Reanimator, T&T Hulkball, Tazri Hulk
Flagstones of Trokair	1	W	0	Land	N/A	N/A	N/A	Paradox Sisay
Flash	9	U	2	Instant	1U	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Breakfast Hulk, Hulkweaver, Mimeo Reanimator Hulk, Najeela Hermit Hulk, SBT Grave Combos, Shuffle Hulk, Tazri Hulk
Flash of Insight	2	U	2	Instant	X1U	N/A	N/A	SBT Grave Combos, Tazri Hulk
Fleshbag Marauder	1	B	3	Creature	2B	N/A	N/A	Honorbru Meren
Flooded Grove	3	UG	0	Land	N/A	N/A	N/A	Edric Turns, Momir Hackball, Rashmi Control
Flooded Strand	50	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Baral Control, Blood Pod, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Tazri, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, High Tide Jace, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Teferi Chain Veil, Zuran Consultation
Flusterstorm	36	U	1	Instant	U	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Tazri, Grixis Consultation, HE-MAN, Harvest Animar, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, Teferi Chain Veil, Zuran Consultation
Food Chain	4	G	3	Enchantment	2G	N/A	N/A	Food Chain Prossh, Food Chain Tazri, SBT Grave Combos, Tazri Hulk
Footsteps of the Goryo	1	B	3	Sorcery	2B	N/A	N/A	Honorbru Meren
Forbidden Orchard	31	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Grixis Consultation, Grixis Twin, Harvest Animar, Kraum's MANly Combo, Meta Pod, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Nooze Reanimator, Paradox Scepter Thrasios, Rad Farm, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Zuran Consultation
Force of Will	37	U	5	Instant	3UU	0	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Tazri, Grixis Consultation, Grixis Twin, HE-MAN, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, Tazri Hulk, Teferi Chain Veil, Zuran Consultation
Foresight	1	U	2	Sorcery	1U	N/A	N/A	Food Chain Tazri
Forest	23	G	0	Land	N/A	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Bad Farm, Blood Pod, Divergent Control, E-MAN, Edric Turns, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, HE-MAN, Honorbru Meren, Hulkweaver, Meta Pod, Mimeo Reanimator Hulk, Momir Hackball, Najeela Tempo, Nooze Reanimator, Paradox Sisay, Rad Farm, Seasons Pastigur, T&T Hulkball, Varolz Hulk
Fork	1	R	2	Instant	RR	N/A	N/A	Godo Helm
Fractured Powerstone	2	C	2	Artifact	2	N/A	N/A	Godo Helm, Sidisi Ad Naus Fishbowl
Fragmentize	1	W	1	Sorcery	W	N/A	N/A	Mad Farm
Frantic Search	17	U	3	Instant	2U	N/A	N/A	Breya Consultation, Doomsday Breya, Doomsday Yidris, Doomsday Zur, Grixis Consultation, Grixis Twin, High Tide Jace, Jeleva Storm, Kess Storm, Mimeo Reanimator Hulk, Nooze Reanimator, Rad Farm, Rashmi Control, Razakats, Scion Reanimator, Shimmer Zur, Zuran Consultation
Freed from the Real	3	U	3	Enchantment	2U	N/A	N/A	Breakfast Hulk, Seasons Pastigur, Shuffle Hulk
Fyndhorn Elves	30	G	1	Creature	G	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Bad Farm, Blood Pod, Breakfast Hulk, Edric Turns, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Harvest Animar, Honorbru Meren, Hulkweaver, Meta Pod, Midrange Yisan, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Paradox Sisay, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scion Reanimator, Selvala Brostorm, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk
Gaea's Blessing	1	G	2	Sorcery	1G	N/A	N/A	Gitrog Dredge
Gaea's Cradle	21	G	0	Land	N/A	N/A	N/A	Bad Farm, Blood Pod, Breakfast Hulk, Edric Turns, Food Chain Prossh, Gitrog Dredge, Harvest Animar, Honorbru Meren, Hulkweaver, Meta Pod, Midrange Yisan, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Paradox Sisay, Rad Farm, Razakats, Selvala Brostorm, T&T Hulkball, Varolz Hulk
Gaea's Herald	1	G	2	Creature	1G	N/A	N/A	Harvest Animar
Gamble	15	R	1	Sorcery	R	N/A	N/A	5c Lightning Druid, BUGR Paradox Scepter, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Godo Helm, Grixis Consultation, Grixis Twin, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Najeela Hermit Hulk
Garruk, Primal Hunter	1	G	5	Planeswalker	2GGG	N/A	N/A	Selvala Brostorm
Gemstone Caverns	30	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Bad Farm, Breakfast Hulk, Breya Consultation, Buried Alive Razaketh Sidisi, Doomsday Breya, E-MAN, Food Chain Tazri, Gitrog Dredge, Godo Helm, Grixis Consultation, Kess Storm, Kraum's MANly Combo, Mad Farm, Midrange Yisan, Momir Hackball, Najeela Hermit Hulk, Opus Thief, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, SBT Grave Combos, Selvala Brostorm, Shimmer Zur, Sidisi Ad Naus Fishbowl, T&T Hulkball, Tazri Hulk, Varolz Hulk, Zuran Consultation
Gemstone Mine	8	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Breakfast Hulk, Doomsday Breya, Food Chain Tazri, Paradox Scepter Thrasios, T&T Hulkball, Tazri Hulk
General Tazri	2	WUBRG	5	Creature	4W	N/A	N/A	Food Chain Tazri, Tazri Hulk
Generous Patron	1	G	3	Creature	2G	N/A	N/A	Harvest Animar
Genesis Hydra	1	G	2	Creature	XGG	N/A	N/A	Food Chain Prossh
Genesis Wave	1	G	3	Sorcery	XGGG	N/A	N/A	Selvala Brostorm
